Year,State,Broad_category,Fuel_category,Registered_vehicle
2021,Karnataka,HPV,Electric Vehicle,90
2021,Karnataka,HPV,Others,0
2021,Karnataka,HPV,Petrol & Others,0
2022,Karnataka,HPV,CNG,0
2022,Karnataka,HPV,Diesel & Others,535
2022,Karnataka,HPV,Electric Vehicle,405
2022,Karnataka,HPV,Others,0
2022,Karnataka,HPV,Petrol & Others,0
2023,Karnataka,HPV,CNG,0
2023,Karnataka,HPV,Diesel & Others,1312
2023,Karnataka,HPV,Electric Vehicle,266
2023,Karnataka,HPV,Others,0
2023,Karnataka,HPV,Petrol & Others,1
2013,Karnataka,LGV,CNG,1
2013,Karnataka,LGV,Diesel & Others,34955
2013,Karnataka,LGV,Electric Vehicle,0
2013,Karnataka,LGV,Others,1100
2013,Karnataka,LGV,Petrol & Others,383
2014,Karnataka,LGV,CNG,1
2014,Karnataka,LGV,Diesel & Others,34543
2014,Karnataka,LGV,Electric Vehicle,3
2014,Karnataka,LGV,Others,1090
2014,Karnataka,LGV,Petrol & Others,553
2015,Karnataka,LGV,CNG,2
2015,Karnataka,LGV,Diesel & Others,34160
2015,Karnataka,LGV,Electric Vehicle,3
2015,Karnataka,LGV,Others,554
2015,Karnataka,LGV,Petrol & Others,691
2016,Karnataka,LGV,CNG,0
2016,Karnataka,LGV,Diesel & Others,30134
2016,Karnataka,LGV,Electric Vehicle,3
2016,Karnataka,LGV,Others,489
2016,Karnataka,LGV,Petrol & Others,410
2017,Karnataka,LGV,CNG,7
2017,Karnataka,LGV,Diesel & Others,34251
2017,Karnataka,LGV,Electric Vehicle,3
2017,Karnataka,LGV,Others,316
2017,Karnataka,LGV,Petrol & Others,355
2018,Karnataka,LGV,CNG,2
2018,Karnataka,LGV,Diesel & Others,43060
2018,Karnataka,LGV,Electric Vehicle,0
2018,Karnataka,LGV,Others,305
2018,Karnataka,LGV,Petrol & Others,189
2019,Karnataka,LGV,CNG,5
2019,Karnataka,LGV,Diesel & Others,41768
2019,Karnataka,LGV,Electric Vehicle,17
2019,Karnataka,LGV,Others,305
2019,Karnataka,LGV,Petrol & Others,309
2020,Karnataka,LGV,CNG,95
2020,Karnataka,LGV,Diesel & Others,22422
2020,Karnataka,LGV,Electric Vehicle,6
2020,Karnataka,LGV,Others,316
2020,Karnataka,LGV,Petrol & Others,2938
2021,Karnataka,LGV,CNG,1531
2021,Karnataka,LGV,Diesel & Others,25912
2021,Karnataka,LGV,Electric Vehicle,28
2021,Karnataka,LGV,Others,415
2021,Karnataka,LGV,Petrol & Others,6036
2022,Karnataka,LGV,CNG,1540
2022,Karnataka,LGV,Diesel & Others,42070
2022,Karnataka,LGV,Electric Vehicle,4
2022,Karnataka,LGV,Others,504
2022,Karnataka,LGV,Petrol & Others,4016
2023,Karnataka,LGV,CNG,1268
2023,Karnataka,LGV,Diesel & Others,37436
2023,Karnataka,LGV,Electric Vehicle,245
2023,Karnataka,LGV,Others,545
2023,Karnataka,LGV,Petrol & Others,2239
2013,Karnataka,LMV,CNG,1
2013,Karnataka,LMV,Diesel & Others,123352
2013,Karnataka,LMV,Electric Vehicle,270
2013,Karnataka,LMV,Others,16800
2013,Karnataka,LMV,Petrol & Others,80373
2014,Karnataka,LMV,CNG,2
2014,Karnataka,LMV,Diesel & Others,123633
2014,Karnataka,LMV,Electric Vehicle,433
2014,Karnataka,LMV,Others,17792
2014,Karnataka,LMV,Petrol & Others,98745
2015,Karnataka,LMV,CNG,1
2015,Karnataka,LMV,Diesel & Others,117979
2015,Karnataka,LMV,Electric Vehicle,422
2015,Karnataka,LMV,Others,10694
2015,Karnataka,LMV,Petrol & Others,114203
2016,Karnataka,LMV,CNG,1
2016,Karnataka,LMV,Diesel & Others,119283
2016,Karnataka,LMV,Electric Vehicle,398
2016,Karnataka,LMV,Others,10015
2016,Karnataka,LMV,Petrol & Others,126564
2017,Karnataka,LMV,CNG,0
2017,Karnataka,LMV,Diesel & Others,116935
2017,Karnataka,LMV,Electric Vehicle,318
2017,Karnataka,LMV,Others,8516
2017,Karnataka,LMV,Petrol & Others,130180
2018,Karnataka,LMV,CNG,3
2018,Karnataka,LMV,Diesel & Others,114794
2018,Karnataka,LMV,Electric Vehicle,348
2018,Karnataka,LMV,Others,9879
2018,Karnataka,LMV,Petrol & Others,128112
2019,Karnataka,LMV,CNG,9
2019,Karnataka,LMV,Diesel & Others,96418
2019,Karnataka,LMV,Electric Vehicle,174
2019,Karnataka,LMV,Others,12423
2019,Karnataka,LMV,Petrol & Others,123056
2020,Karnataka,LMV,CNG,3
2020,Karnataka,LMV,Diesel & Others,76538
2020,Karnataka,LMV,Electric Vehicle,692
2020,Karnataka,LMV,Others,14918
2020,Karnataka,LMV,Petrol & Others,149635
2021,Karnataka,LMV,CNG,2
2021,Karnataka,LMV,Diesel & Others,88328
2021,Karnataka,LMV,Electric Vehicle,1706
2021,Karnataka,LMV,Others,15764
2021,Karnataka,LMV,Petrol & Others,158462
2022,Karnataka,LMV,CNG,13
2022,Karnataka,LMV,Diesel & Others,112093
2022,Karnataka,LMV,Electric Vehicle,4493
2022,Karnataka,LMV,Others,15872
2022,Karnataka,LMV,Petrol & Others,209885
2023,Karnataka,LMV,CNG,14
2023,Karnataka,LMV,Diesel & Others,82050
2023,Karnataka,LMV,Electric Vehicle,8391
2023,Karnataka,LMV,Others,11055
2023,Karnataka,LMV,Petrol & Others,183826
2013,Karnataka,LPV,CNG,0
